clients,start_time,end_time,diff
1, 2023-03-14 20:01:38.762696 -04:00, 2023-03-14 20:01:42.391434 -04:00, 628738
2, 2023-03-14 20:01:42.391712 -04:00, 2023-03-14 20:01:44.014044 -04:00, 622332
3, 2023-03-14 20:01:44.014191 -04:00, 2023-03-14 20:01:45.451955 -04:00, 437764
4, 2023-03-14 20:01:45.452115 -04:00, 2023-03-14 20:01:46.877721 -04:00, 425606
5, 2023-03-14 20:01:46.877848 -04:00, 2023-03-14 20:01:48.335835 -04:00, 457987
6, 2023-03-14 20:01:48.335971 -04:00, 2023-03-14 20:01:49.650781 -04:00, 314810
7, 2023-03-14 20:01:49.650920 -04:00, 2023-03-14 20:01:51.021493 -04:00, 370573
8, 2023-03-14 20:01:51.021673 -04:00, 2023-03-14 20:01:52.420594 -04:00, 398921
9, 2023-03-14 20:01:52.420840 -04:00, 2023-03-14 20:01:53.874322 -04:00, 453482
10, 2023-03-14 20:01:53.874470 -04:00, 2023-03-14 20:01:55.190510 -04:00, 316040
11, 2023-03-14 20:01:55.190696 -04:00, 2023-03-14 20:01:56.426303 -04:00, 235607
12, 2023-03-14 20:01:56.426417 -04:00, 2023-03-14 20:01:57.829940 -04:00, 403523
13, 2023-03-14 20:01:57.830055 -04:00, 2023-03-14 20:01:59.050373 -04:00, 220318
14, 2023-03-14 20:01:59.050519 -04:00, 2023-03-14 20:02:00.312900 -04:00, 262381
15, 2023-03-14 20:02:00.313802 -04:00, 2023-03-14 20:02:01.708119 -04:00, 394317
16, 2023-03-14 20:02:01.708274 -04:00, 2023-03-14 20:02:02.867684 -04:00, 159410
17, 2023-03-14 20:02:02.867795 -04:00, 2023-03-14 20:02:03.986946 -04:00, 119151
18, 2023-03-14 20:02:03.987093 -04:00, 2023-03-14 20:02:05.730313 -04:00, 743220
19, 2023-03-14 20:02:05.730640 -04:00, 2023-03-14 20:02:07.395394 -04:00, 664754
20, 2023-03-14 20:02:07.395577 -04:00, 2023-03-14 20:02:08.799880 -04:00, 404303
