clients,start_time,end_time,diff
1, 2023-03-14 19:52:36.359007 -04:00, 2023-03-14 19:52:40.091287 -04:00, 732280
2, 2023-03-14 19:52:40.091435 -04:00, 2023-03-14 19:52:41.832840 -04:00, 741405
3, 2023-03-14 19:52:41.832953 -04:00, 2023-03-14 19:52:43.076845 -04:00, 243892
4, 2023-03-14 19:52:43.076979 -04:00, 2023-03-14 19:52:44.283842 -04:00, 206863
5, 2023-03-14 19:52:44.283981 -04:00, 2023-03-14 19:52:45.432771 -04:00, 148790
6, 2023-03-14 19:52:45.432912 -04:00, 2023-03-14 19:52:46.505207 -04:00, 72295
7, 2023-03-14 19:52:46.505411 -04:00, 2023-03-14 19:52:47.554455 -04:00, 49044
8, 2023-03-14 19:52:47.554606 -04:00, 2023-03-14 19:52:48.487322 -04:00, 932716
9, 2023-03-14 19:52:48.487472 -04:00, 2023-03-14 19:52:49.370950 -04:00, 883478
10, 2023-03-14 19:52:49.371106 -04:00, 2023-03-14 19:52:50.219037 -04:00, 847931
11, 2023-03-14 19:52:50.219219 -04:00, 2023-03-14 19:52:51.056809 -04:00, 837590
12, 2023-03-14 19:52:51.056968 -04:00, 2023-03-14 19:52:51.918611 -04:00, 861643
13, 2023-03-14 19:52:51.918810 -04:00, 2023-03-14 19:52:52.737399 -04:00, 818589
14, 2023-03-14 19:52:52.737550 -04:00, 2023-03-14 19:52:53.560511 -04:00, 822961
15, 2023-03-14 19:52:53.560715 -04:00, 2023-03-14 19:52:54.374390 -04:00, 813675
16, 2023-03-14 19:52:54.374536 -04:00, 2023-03-14 19:52:55.168709 -04:00, 794173
17, 2023-03-14 19:52:55.168845 -04:00, 2023-03-14 19:52:55.976348 -04:00, 807503
18, 2023-03-14 19:52:55.976528 -04:00, 2023-03-14 19:52:56.766786 -04:00, 790258
19, 2023-03-14 19:52:56.766975 -04:00, 2023-03-14 19:52:57.577437 -04:00, 810462
20, 2023-03-14 19:52:57.577615 -04:00, 2023-03-14 19:52:58.449404 -04:00, 871789
